%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1457888162423967383,1.19870364666,1.29867470264,0.0,0.0,0.0,0.0,0.0
1457888162425979757,1.20023012161,1.30050301552,0.0,0.0,0.0,0.0,0.0
1457888162427967852,1.20089316368,1.30113482475,0.0,0.0,0.0,0.0,0.0
1457888162429938736,1.20119464397,1.30133259296,0.0,0.0,0.0,0.0,0.0
1457888162431909894,1.20133900642,1.30138039589,0.0,0.0,0.0,0.0,0.0
1457888162433893221,1.2014118433,1.30138111115,0.0,0.0,0.0,0.0,0.0
1457888162435956038,1.20145046711,1.30137062073,0.0,0.0,0.0,0.0,0.0
1457888162437913949,1.20147180557,1.30135989189,0.0,0.0,0.0,0.0,0.0
1457888162439955233,1.20148408413,1.30135166645,0.0,0.0,0.0,0.0,0.0
1457888162441949694,1.20149123669,1.3013459444,0.0,0.0,0.0,0.0,0.0
1457888162443944188,1.20149540901,1.30134212971,0.0,0.0,0.0,0.0,0.0
1457888162445965921,1.20149803162,1.30133974552,0.0,0.0,0.0,0.0,0.0
1457888162447933772,1.20149958134,1.3013381958,0.0,0.0,0.0,0.0,0.0
1457888162449998158,1.20150053501,1.30133724213,0.0,0.0,0.0,0.0,0.0
1457888162451963939,1.19885873795,1.30360627174,0.0,0.0,0.0,0.0,0.0
1457888162453923308,1.19726753235,1.30506885052,0.0,0.0,0.0,0.0,0.0
1457888162455979810,1.19630074501,1.30599355698,0.0,0.0,0.0,0.0,0.0
1457888162457928470,1.1957116127,1.30657112598,0.0,0.0,0.0,0.0,0.0
1457888162459926686,1.19535195827,1.30692911148,0.0,0.0,0.0,0.0,0.0
1457888162461925121,1.19513225555,1.30714988708,0.0,0.0,0.0,0.0,0.0
1457888162463913734,1.19499790668,1.30728566647,0.0,0.0,0.0,0.0,0.0
1457888162465954334,1.19491577148,1.30736899376,0.0,0.0,0.0,0.0,0.0
1457888162467940334,1.19486546516,1.30742013454,0.0,0.0,0.0,0.0,0.0
1457888162469905691,1.19483470917,1.30745148659,0.0,0.0,0.0,0.0,0.0
1457888162471891171,1.1948158741,1.30747067928,0.0,0.0,0.0,0.0,0.0
1457888162473935996,1.1948043108,1.30748236179,0.0,0.0,0.0,0.0,0.0
1457888162475930130,1.19479727745,1.30748963356,0.0,0.0,0.0,0.0,0.0
1457888162477968328,1.19479298592,1.3074940443,0.0,0.0,0.0,0.0,0.0
1457888162479956112,1.19479036331,1.30749678612,0.0,0.0,0.0,0.0,0.0
1457888162482009894,1.19478869438,1.30749845505,0.0,0.0,0.0,0.0,0.0
1457888162484212196,1.19478774071,1.30749940872,0.0,0.0,0.0,0.0,0.0
1457888162486261996,1.20233464241,1.31731331348,0.0,0.0,0.0,0.0,0.0
1457888162488255686,1.20551979542,1.32082796097,0.0,0.0,0.0,0.0,0.0
1457888162490219478,1.20692551136,1.32200801373,0.0,0.0,0.0,0.0,0.0
1457888162492199852,1.20757853985,1.32235229015,0.0,0.0,0.0,0.0,0.0
1457888162494226965,1.20656895638,1.3235462904,0.0,0.0,0.0,0.0,0.0
1457888162496248810,1.20593011379,1.32426059246,0.0,0.0,0.0,0.0,0.0
1457888162498224730,1.20552945137,1.32469296455,0.0,0.0,0.0,0.0,0.0
1457888162500210437,1.20527970791,1.32495653629,0.0,0.0,0.0,0.0,0.0
1457888162502203626,1.20512461662,1.32511794567,0.0,0.0,0.0,0.0,0.0
1457888162504189944,1.20502853394,1.3252171278,0.0,0.0,0.0,0.0,0.0
1457888162506220184,1.2049690485,1.32527804375,0.0,0.0,0.0,0.0,0.0
1457888162508208502,1.20493233204,1.32531559467,0.0,0.0,0.0,0.0,0.0
1457888162510203701,1.20490956306,1.32533872128,0.0,0.0,0.0,0.0,0.0
1457888162512377051,1.20489561558,1.32535302639,0.0,0.0,0.0,0.0,0.0
1457888162514214406,1.20221817493,1.32762551308,0.0,0.0,0.0,0.0,0.0
1457888162516223958,1.20059633255,1.32909369469,0.0,0.0,0.0,0.0,0.0
1457888162518192916,1.21085190773,1.34480381012,0.0,0.0,0.0,0.0,0.0
1457888162520162400,1.21497368813,1.35069620609,0.0,0.0,0.0,0.0,0.0
1457888162522209539,1.21668565273,1.3528522253,0.0,0.0,0.0,0.0,0.0
1457888162524189232,1.21742510796,1.35360741615,0.0,0.0,0.0,0.0,0.0
1457888162526209288,1.21775996685,1.35385012627,0.0,0.0,0.0,0.0,0.0
1457888162528220830,1.21792018414,1.35391318798,0.0,0.0,0.0,0.0,0.0
1457888162530199817,1.21800124645,1.35391831398,0.0,0.0,0.0,0.0,0.0
1457888162532151191,1.21804451942,1.3539083004,0.0,0.0,0.0,0.0,0.0
1457888162534270237,1.21806871891,1.35389685631,0.0,0.0,0.0,0.0,0.0
1457888162536177111,1.21406185627,1.3572537899,0.0,0.0,0.0,0.0,0.0
1457888162538155205,1.21160757542,1.35944807529,0.0,0.0,0.0,0.0,0.0
1457888162540158660,1.21008980274,1.36085498333,0.0,0.0,0.0,0.0,0.0
1457888162542190709,1.20914900303,1.36174571514,0.0,0.0,0.0,0.0,0.0
1457888162544150197,1.20856559277,1.36230516434,0.0,0.0,0.0,0.0,0.0
